93.115.10.237:8443#TR [Avg 236.89ms | 0.0Mbps]
185.113.223.183:8443#TR [Avg 257.6ms | 0.0Mbps]
45.12.143.25:443#TR [Avg 270.74ms | 0.0Mbps]
45.89.52.85:443#TR [Avg 287.2ms | 0.0Mbps]
5.180.45.186:2096#TR [Avg 290.31ms | 0.0Mbps]
212.192.6.248:443#TR [Avg 290.75ms | 0.0Mbps]
31.40.204.93:443#TR [Avg 295.06ms | 0.0Mbps]
185.255.93.189:443#TR [Avg 298.33ms | 0.0Mbps]
194.135.34.121:443#TR [Avg 302.76ms | 0.0Mbps]
188.132.192.194:2053#TR [Avg 308.73ms | 0.0Mbps]
188.132.192.145:2087#TR [Avg 312.62ms | 0.0Mbps]
213.111.148.137:443#UA [乌克兰] [Avg 326.8ms | 28.74Mbps]
141.105.130.102:443#UA [Avg 278.75ms | 5.07Mbps]
91.218.212.223:443#UA [Avg 256.24ms | 0.0Mbps]
91.238.105.102:443#UA [Avg 1377.49ms | 0.0Mbps]
157.22.128.7:443#UZ [Avg 222.5ms | 0.0Mbps]
195.242.118.15:443#VG [Avg 762.08ms | 0.0Mbps]
163.61.74.121:443#VN [Avg 144.15ms | 0.0Mbps]
161.248.31.198:443#VN [Avg 177.36ms | 0.0Mbps]
139.84.244.9:443#ZA [南非] [Avg 388.33ms | 41.05Mbps]
84.8.137.211:443#ZA [南非] [Avg 432.07ms | 36.24Mbps]
84.8.142.203:443#ZA [南非] [Avg 392.37ms | 34.45Mbps]
139.84.235.99:443#ZA [南非] [Avg 384.13ms | 33.76Mbps]
139.84.230.41:443#ZA [南非] [Avg 365.05ms | 26.42Mbps]
156.38.157.171:8443#ZA [南非] [Avg 340.72ms | 19.17Mbps]
139.84.236.69:443#ZA [Avg 332.9ms | 4.46Mbps]
38.54.64.204:443#ZA [Avg 306.75ms | 0.0Mbps]
