192.9.175.224:443#AU [Avg 172.75ms | 4.81Mbps]
209.38.82.114:443#AU [Avg 174.65ms | 4.75Mbps]
209.38.22.182:443#AU [Avg 174.07ms | 4.74Mbps]
139.84.197.94:443#AU [Avg 235.89ms | 4.74Mbps]
185.222.217.28:443#AU [Avg 181.63ms | 4.7Mbps]
46.250.244.12:443#AU [Avg 228.65ms | 4.67Mbps]
207.211.153.234:443#AU [Avg 184.47ms | 4.63Mbps]
103.30.211.34:443#AU [Avg 364.63ms | 4.62Mbps]
45.32.191.198:443#AU [Avg 184.0ms | 4.61Mbps]
170.64.175.13:443#AU [Avg 179.53ms | 4.57Mbps]
163.47.16.78:443#AU [Avg 179.79ms | 4.57Mbps]
45.63.24.207:443#AU [Avg 181.77ms | 4.43Mbps]
170.64.163.39:443#AU [Avg 205.82ms | 0.0Mbps]
38.54.42.124:443#BD [Avg 148.74ms | 0.0Mbps]
38.180.18.43:8443#BE [Avg 226.39ms | 5.36Mbps]
35.210.99.51:443#BE [Avg 222.25ms | 5.18Mbps]
194.71.227.213:443#BE [Avg 267.01ms | 4.77Mbps]
188.190.26.243:443#BE [Avg 256.47ms | 4.74Mbps]
185.203.119.221:2053#BG [Avg 284.87ms | 5.09Mbps]
13.140.29.178:443#BG [Avg 318.65ms | 4.99Mbps]
91.92.136.216:2053#BG [Avg 276.74ms | 4.98Mbps]
185.203.119.166:2053#BG [Avg 274.6ms | 4.95Mbps]
152.89.28.215:443#BG [Avg 282.28ms | 4.94Mbps]
185.203.116.174:443#BG [Avg 262.47ms | 4.91Mbps]
13.140.29.144:2087#BG [Avg 322.72ms | 4.91Mbps]
185.203.119.101:443#BG [Avg 283.32ms | 4.86Mbps]
2.27.105.199:443#BG [Avg 310.18ms | 4.86Mbps]
45.137.201.143:443#BG [Avg 262.18ms | 4.84Mbps]
195.123.225.224:8443#BG [Avg 317.55ms | 4.84Mbps]
185.177.59.153:2053#BG [Avg 253.62ms | 4.79Mbps]
185.148.146.9:443#BG [Avg 304.57ms | 4.78Mbps]
193.37.213.190:443#BG [Avg 256.76ms | 4.77Mbps]
193.239.160.89:443#BG [Avg 223.6ms | 4.74Mbps]
185.162.10.111:2053#BG [Avg 312.66ms | 4.69Mbps]
185.141.61.113:443#BG [Avg 268.12ms | 4.68Mbps]
91.210.166.221:443#BG [Avg 318.16ms | 4.66Mbps]
94.72.140.210:443#BG [Avg 235.36ms | 4.65Mbps]
169.40.15.217:443#BG [Avg 270.38ms | 4.46Mbps]
91.92.136.69:443#BG [Avg 275.62ms | 0.0Mbps]
91.215.153.44:443#BG [Avg 321.98ms | 0.0Mbps]
91.215.153.85:443#BG [Avg 323.43ms | 0.0Mbps]
91.215.154.122:443#BG [Avg 324.24ms | 0.0Mbps]
91.215.153.143:443#BG [Avg 324.25ms | 0.0Mbps]
94.131.19.19:2053#BR [Avg 408.94ms | 4.98Mbps]
216.238.116.196:8443#BR [Avg 384.09ms | 4.79Mbps]
38.180.78.255:443#BR [Avg 895.24ms | 4.74Mbps]
191.44.32.253:443#BR [Avg 238.51ms | 4.68Mbps]
216.238.110.198:8443#BR [Avg 379.71ms | 4.65Mbps]
38.180.196.40:8443#BR [Avg 397.62ms | 4.64Mbps]
146.235.59.153:8443#BR [Avg 430.09ms | 0.0Mbps]
38.180.79.9:443#BR [Avg 745.98ms | 0.0Mbps]
216.238.120.164:443#BR [Avg 891.89ms | 0.0Mbps]
80.71.159.199:8443#BY [白俄罗斯] [Avg 288.78ms | 36.03Mbps]
93.85.88.60:2053#BY [白俄罗斯] [Avg 591.28ms | 22.46Mbps]
153.80.244.215:443#BY [Avg 281.17ms | 4.96Mbps]
185.179.82.246:443#BY [Avg 262.88ms | 4.8Mbps]
212.60.4.134:443#BY [Avg 244.98ms | 4.73Mbps]
